ユら戳 ,,ユ澄る,秨絃基,程蔼基,程基,Μ絃基,害禴基,害禴%,*Θユ秖,挡衡基,*ゼ≧綪计,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基
2009/1/5,XIF,200901,5869,5890,5736,5753,《43,《0.75%,567,5753,265,5750,5759,6100,5130
2009/1/5,XIF,200902,5796,5858,5730,5730,《75,《1.33%,185,5730,37,5721,5731,5978,5479
2009/1/5,XIF,200903,5705,5705,5705,5705,《54,《0.96%,200,5705,10,5652,5742,5860,5685
2009/1/5,XIF,200906,-,-,-,-,-,-,-,5632,5,-,-,-,-
2009/1/5,XIF,200909,-,-,-,-,-,-,-,5673,1,-,-,-,-
2009/1/5,TX ,200901,4722,4797,4634,4670,《122,《2.68%,97901,4669,50042,4670,4671,4797,3715
2009/1/5,TX ,200902,4629,4766,4613,4640,《123,《2.72%,800,4644,1186,4642,4644,4766,4222
2009/1/5,TX ,200903,4640,4729,4601,4617,《157,《3.52%,74,4617,1028,4613,4618,9095,3740
2009/1/5,TX ,200906,4686,4686,4560,4576,《115,《2.58%,10,4576,1864,4587,4593,7240,3600
2009/1/5,TX ,200909,4523,4523,4383,4400,《121,《2.83%,24,4400,1697,4393,4400,4822,3550
2009/1/5,TGF,200902,3456,3460,3434,3443,《19,《0.55%,165,3443,287,3441.5,3445,3970,2843
2009/1/5,TGF,200904,3456,3460,3435,3443,《19.5,《0.57%,8056,3443,132,3442.5,3446,3652,2860
2009/1/5,TGF,200906,3500,3500,3437,3439,-,-,10176,3439,44,3441.5,3447,3600,2885
2009/1/5,TGF,200908,3550,3550,3439,3441,《4,《0.12%,16292,3441,9,3443.5,3450,3570,2950
2009/1/5,TGF,200910,3460,3460,3445,3450,《6,《0.17%,188,3450,1,3444.5,3455,3488,3298
2009/1/5,TGF,200912,-,-,-,-,-,-,-,3452.5,0,-,-,-,-
2009/1/5,TF ,200901,618.6,625.8,598.2,605.2,《8.8,《1.48%,4262,604.6,2840,604,605.4,625.8,424.2
2009/1/5,TF ,200902,615.2,621.8,600.4,600.4,《7.4,《1.25%,39,600.4,74,601.4,603.6,621.8,538.2
2009/1/5,TF ,200903,609,612.8,609,611,《22.6,《3.84%,4,597.6,24,594.2,601.2,1151,427.8
2009/1/5,TF ,200906,-,-,-,-,-,-,-,591,10,-,-,-,-
2009/1/5,TF ,200909,579,579,579,579,《17,《3.02%,1,567.6,4,559,576.4,579,394.2
2009/1/5,TE ,200901,180.95,185.2,178.3,180.5,《7.35,《4.24%,4759,180.7,4757,180.6,180.7,185.2,136
2009/1/5,TE ,200902,176.45,184.2,176.45,180,《7.85,《4.56%,83,180,86,179.4,179.7,184.2,160.3
2009/1/5,TE ,200903,179.8,179.8,178,178,《7.65,《4.49%,2,178,34,177.6,178.6,333.95,138.1
2009/1/5,TE ,200906,-,-,-,-,-,-,-,176.85,9,-,-,-,-
2009/1/5,TE ,200909,164.15,165.6,164.15,165.6,《7.6,《4.81%,2,165.6,33,164.6,167.15,196.75,126
2009/1/5,T5F,200901,-,-,-,-,-,-,-,3421,5,-,-,-,-
2009/1/5,T5F,200902,-,-,-,-,-,-,-,3441,0,-,-,-,-
2009/1/5,T5F,200903,-,-,-,-,-,-,-,3694,0,-,-,-,-
2009/1/5,T5F,200906,-,-,-,-,-,-,-,3599,1,-,-,-,-
2009/1/5,T5F,200909,-,-,-,-,-,-,-,3316,0,-,-,-,-
2009/1/5,MTX,200901,4700,4797,4635,4670,《122,《2.68%,49372,4669,11133,4668,4672,4797,3746
2009/1/5,MTX,200902,4668,4766,4611,4640,《123,《2.72%,893,4644,631,4639,4646,4766,4219
2009/1/5,MTX,200903,4661,4729,4599,4627,《167,《3.74%,109,4617,473,4614,4627,9095,3730
2009/1/5,MTX,200906,4645,4700,4580,4602,《141,《3.16%,26,4576,391,4580,4597,7264,3692
