交易日期 ,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
2001/12/24,TXO,200201  ,4900,買權,305,370,180,301,14,301,9,290,360,370,180
2001/12/24,TXO,200201  ,4900,賣權,109,109,80,100,125,100,21,78,100,109,80
2001/12/24,TXO,200201  ,5000,買權,260,275,218,275,7,275,4,230,285,275,218
2001/12/24,TXO,200201  ,5000,賣權,150,220,130,160,79,160,9,110,210,220,130
2001/12/24,TXO,200201  ,5100,買權,210,230,162,200,131,200,116,185,235,230,162
2001/12/24,TXO,200201  ,5100,賣權,230,230,150,200,32,200,27,150,205,230,150
2001/12/24,TXO,200201  ,5200,買權,159,180,115,151,298,151,122,136,180,180,115
2001/12/24,TXO,200201  ,5200,賣權,200,210,145,205,20,205,14,210,330,210,145
2001/12/24,TXO,200201  ,5300,買權,100,130,99,110,374,110,159,108,115,130,99
2001/12/24,TXO,200201  ,5300,賣權,205,205,205,205,1,205,1,260,385,205,205
2001/12/24,TXO,200202  ,4900,買權,205,428,205,428,21,428,20,352,690,428,205
2001/12/24,TXO,200202  ,4900,賣權,150,155,145,155,6,155,6,145,175,155,145
2001/12/24,TXO,200202  ,5000,買權,300,300,300,300,10,300,10,252,550,300,300
2001/12/24,TXO,200202  ,5000,賣權,225,225,225,225,1,225,1,195,225,225,225
2001/12/24,TXO,200202  ,5100,買權,250,340,250,270,70,270,67,170,320,340,250
2001/12/24,TXO,200202  ,5100,賣權,320,320,320,320,1,320,1,100,550,320,320
2001/12/24,TXO,200202  ,5200,買權,159,270,159,235,128,235,119,200,265,270,159
2001/12/24,TXO,200202  ,5200,賣權,300,300,300,300,10,300,10,200,680,300,300
2001/12/24,TXO,200202  ,5300,買權,225,240,190,195,91,195,56,122,225,240,190
2001/12/24,TXO,200202  ,5300,賣權,0,0,0,0,0,317,0,150,700,0,0
2001/12/24,TXO,200203  ,4900,買權,0,0,0,0,0,474,0,450,590,0,0
2001/12/24,TXO,200203  ,4900,賣權,0,0,0,0,0,175,0,100,340,0,0
2001/12/24,TXO,200203  ,5000,買權,0,0,0,0,0,414,0,295,535,0,0
2001/12/24,TXO,200203  ,5000,賣權,0,0,0,0,0,214,0,145,385,0,0
2001/12/24,TXO,200203  ,5100,買權,0,0,0,0,0,360,0,300,485,0,0
2001/12/24,TXO,200203  ,5100,賣權,0,0,0,0,0,259,0,195,435,0,0
2001/12/24,TXO,200203  ,5200,買權,0,0,0,0,0,311,0,200,440,0,0
2001/12/24,TXO,200203  ,5200,賣權,0,0,0,0,0,309,0,250,490,0,0
2001/12/24,TXO,200203  ,5300,買權,0,0,0,0,0,267,0,185,395,0,0
2001/12/24,TXO,200203  ,5300,賣權,0,0,0,0,0,364,0,305,545,0,0
2001/12/24,TXO,200206  ,4700,買權,0,0,0,0,0,735,0,615,865,0,0
2001/12/24,TXO,200206  ,4700,賣權,0,0,0,0,0,206,0,145,395,0,0
2001/12/24,TXO,200206  ,4900,買權,0,0,0,0,0,615,0,500,750,0,0
2001/12/24,TXO,200206  ,4900,賣權,0,0,0,0,0,281,0,230,480,0,0
2001/12/24,TXO,200206  ,5100,買權,0,0,0,0,0,510,0,395,645,0,0
2001/12/24,TXO,200206  ,5100,賣權,0,0,0,0,0,371,0,325,575,0,0
2001/12/24,TXO,200206  ,5300,買權,0,0,0,0,0,417,0,305,555,0,0
2001/12/24,TXO,200206  ,5300,賣權,0,0,0,0,0,475,0,435,685,0,0
2001/12/24,TXO,200206  ,5500,買權,480,480,480,480,1,480,1,230,480,480,480
