交易日期 ,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
2002/1/2,TXO,200201  ,4900,買權,720,750,720,750,5,750,36,550,780,750,180
2002/1/2,TXO,200201  ,4900,賣權,10,25,10,25,18,25,233,10,25,109,6
2002/1/2,TXO,200201  ,5000,買權,0,0,0,0,0,615,38,0,680,500,218
2002/1/2,TXO,200201  ,5000,賣權,40,40,21,21,3,21,91,15,29,220,15
2002/1/2,TXO,200201  ,5100,買權,540,540,540,540,1,540,139,300,650,540,162
2002/1/2,TXO,200201  ,5100,賣權,40,45,30,30,14,30,112,12,30,230,30
2002/1/2,TXO,200201  ,5200,買權,400,440,75,440,8,440,184,340,460,440,75
2002/1/2,TXO,200201  ,5200,賣權,71,80,40,40,24,40,157,30,59,260,40
2002/1/2,TXO,200201  ,5300,買權,296,400,296,400,23,400,301,341,400,400,99
2002/1/2,TXO,200201  ,5300,賣權,110,110,55,65,54,65,186,65,75,249,55
2002/1/2,TXO,200201  ,5400,買權,255,302,195,300,21,300,163,260,300,302,112
2002/1/2,TXO,200201  ,5400,賣權,90,130,80,95,16,95,105,95,120,285,80
2002/1/2,TXO,200201  ,5500,買權,180,251,151,251,65,251,265,202,244,258,85
2002/1/2,TXO,200201  ,5500,賣權,180,199,106,135,36,135,122,135,160,350,106
2002/1/2,TXO,200201  ,5600,買權,100,200,100,200,23,200,18,140,220,200,100
2002/1/2,TXO,200201  ,5600,賣權,180,180,160,160,5,160,5,170,180,180,160
2002/1/2,TXO,200201  ,5700,買權,90,150,75,130,133,130,105,125,155,150,75
2002/1/2,TXO,200201  ,5700,賣權,210,301,200,200,15,200,12,201,295,301,200
2002/1/2,TXO,200202  ,4900,買權,730,730,730,730,5,730,18,0,0,730,205
2002/1/2,TXO,200202  ,4900,賣權,0,0,0,0,0,62,6,20,0,155,145
2002/1/2,TXO,200202  ,5000,買權,650,650,650,650,5,650,10,0,0,700,300
2002/1/2,TXO,200202  ,5000,賣權,0,0,0,0,0,82,1,0,0,225,225
2002/1/2,TXO,200202  ,5100,買權,0,0,0,0,0,625,67,0,0,620,250
2002/1/2,TXO,200202  ,5100,賣權,0,0,0,0,0,106,1,0,0,320,320
2002/1/2,TXO,200202  ,5200,買權,0,0,0,0,0,555,141,380,550,480,159
2002/1/2,TXO,200202  ,5200,賣權,0,0,0,0,0,135,10,61,0,300,300
2002/1/2,TXO,200202  ,5300,買權,0,0,0,0,0,490,57,220,520,465,190
2002/1/2,TXO,200202  ,5300,賣權,0,0,0,0,0,168,0,45,0,0,0
2002/1/2,TXO,200202  ,5400,買權,0,0,0,0,0,429,1,97,0,230,230
2002/1/2,TXO,200202  ,5400,賣權,0,0,0,0,0,207,0,85,0,0,0
2002/1/2,TXO,200202  ,5500,買權,0,0,0,0,0,374,0,100,0,0,0
2002/1/2,TXO,200202  ,5500,賣權,135,135,135,135,1,135,11,90,0,350,135
2002/1/2,TXO,200202  ,5600,買權,0,0,0,0,0,323,0,61,0,0,0
2002/1/2,TXO,200202  ,5600,賣權,0,0,0,0,0,299,0,0,0,0,0
2002/1/2,TXO,200202  ,5700,買權,100,100,100,100,2,100,2,100,0,100,100
2002/1/2,TXO,200202  ,5700,賣權,0,0,0,0,0,353,0,104,0,0,0
2002/1/2,TXO,200203  ,4900,買權,0,0,0,0,0,840,0,0,0,0,0
2002/1/2,TXO,200203  ,4900,賣權,0,0,0,0,0,108,0,0,0,0,0
2002/1/2,TXO,200203  ,5000,買權,0,0,0,0,0,765,0,0,0,0,0
2002/1/2,TXO,200203  ,5000,賣權,0,0,0,0,0,134,0,0,0,0,0
