交易日期 ,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
2004/1/2,AAO,200401  ,40,買權,0,0,0,0,0,9.7,0,0,0,0,0
2004/1/2,AAO,200401  ,40,賣權,0,0,0,0,0,0.01,7,0,0,1.39,0
2004/1/2,AAO,200401  ,42,買權,0,0,0,0,0,7.7,0,0,0,0,0
2004/1/2,AAO,200401  ,42,賣權,0,0,0,0,0,0.02,0,0,0,0,0
2004/1/2,AAO,200401  ,44,買權,0,0,0,0,0,5.75,5,0,0,2.36,0
2004/1/2,AAO,200401  ,44,賣權,0,0,0,0,0,0.09,0,0,0,0,0
2004/1/2,AAO,200401  ,46,買權,0,0,0,0,0,3.91,32,0,0,2.5,0
2004/1/2,AAO,200401  ,46,賣權,0,0,0,0,0,0.32,0,0,0,0,0
2004/1/2,AAO,200401  ,48,買權,2,2,2,2,1,2.3,58,0.52,0,2,2
2004/1/2,AAO,200401  ,48,賣權,0,0,0,0,0,0.83,28,0,0,1.5,0
2004/1/2,AAO,200401  ,50,買權,0.31,0.31,0.31,0.31,15,1.14,12,0,0,1,0.3
2004/1/2,AAO,200401  ,50,賣權,0,0,0,0,0,1.7,0,0,0,0,0
2004/1/2,AAO,200401  ,55,買權,0,0,0,0,0,0.08,0,0,0,0,0
2004/1/2,AAO,200401  ,55,賣權,0,0,0,0,0,5.4,0,0,0,0,0
2004/1/2,AAO,200402  ,40,買權,0,0,0,0,0,9.75,0,0,0,0,0
2004/1/2,AAO,200402  ,40,賣權,0,0,0,0,0,0.03,0,0,0,0,0
2004/1/2,AAO,200402  ,42,買權,0,0,0,0,0,7.8,0,0,0,0,0
2004/1/2,AAO,200402  ,42,賣權,0,0,0,0,0,0.12,0,0,0,0,0
2004/1/2,AAO,200402  ,44,買權,0,0,0,0,0,5.9,0,0,0,0,0
2004/1/2,AAO,200402  ,44,賣權,0,0,0,0,0,0.31,0,0,0,0,0
2004/1/2,AAO,200402  ,46,買權,0,0,0,0,0,4.19,1,0,0,2.8,0
2004/1/2,AAO,200402  ,46,賣權,0,0,0,0,0,0.69,0,0,0,0,0
2004/1/2,AAO,200402  ,48,買權,0,0,0,0,0,2.73,0,0.5,0,0,0
2004/1/2,AAO,200402  ,48,賣權,0,0,0,0,0,1.32,9,0,0,1.8,0
2004/1/2,AAO,200402  ,50,買權,0,0,0,0,0,1.62,0,0,0,0,0
2004/1/2,AAO,200402  ,50,賣權,0,0,0,0,0,2.25,0,0,0,0,0
2004/1/2,AAO,200402  ,55,買權,0,0,0,0,0,0.28,0,0,0,0,0
2004/1/2,AAO,200402  ,55,賣權,0,0,0,0,0,5.7,0,0,0,0,0
2004/1/2,AAO,200403  ,34,買權,0,0,0,0,0,15.8,0,0,0,0,0
2004/1/2,AAO,200403  ,34,賣權,0,0,0,0,0,0.01,22,0,0,0.79,0
2004/1/2,AAO,200403  ,36,買權,0,0,0,0,0,13.8,0,0,0,0,0
2004/1/2,AAO,200403  ,36,賣權,0,0,0,0,0,0.01,56,0,0,1.39,0
2004/1/2,AAO,200403  ,38,買權,0,0,0,0,0,11.8,0,0,0,0,0
2004/1/2,AAO,200403  ,38,賣權,0,0,0,0,0,0.05,65,0,0,2.29,0
2004/1/2,AAO,200403  ,40,買權,0,0,0,0,0,9.85,0,0,0,0,0
2004/1/2,AAO,200403  ,40,賣權,0,0,0,0,0,0.13,0,0,0,0,0
2004/1/2,AAO,200403  ,42,買權,0,0,0,0,0,7.95,0,0,0,0,0
2004/1/2,AAO,200403  ,42,賣權,0,0,0,0,0,0.3,0,0,0,0,0
2004/1/2,AAO,200403  ,44,買權,0,0,0,0,0,6.15,11,0,0,1.76,0
2004/1/2,AAO,200403  ,44,賣權,0,0,0,0,0,0.61,0,0,0,0,0
2004/1/2,AAO,200403  ,46,買權,3.99,3.99,3.99,3.99,30,4.54,128,3.5,4.99,3.99,3.99
2004/1/2,AAO,200403  ,46,賣權,0,0,0,0,0,1.11,0,0,0,0,0
2004/1/2,AAO,200403  ,48,買權,0,0,0,0,0,3.17,3,0,0,2.4,0
2004/1/2,AAO,200403  ,48,賣權,0,0,0,0,0,1.82,0,0,0,0,0
2004/1/2,AAO,200403  ,50,買權,0,0,0,0,0,2.09,0,0,0,0,0
2004/1/2,AAO,200403  ,50,賣權,0,0,0,0,0,2.77,0,0,0,0,0
2004/1/2,AAO,200403  ,55,買權,0,0,0,0,0,0.57,0,0,0,0,0
2004/1/2,AAO,200403  ,55,賣權,0,0,0,0,0,6.1,0,0,0,11.4,0
2004/1/2,AAO,200406  ,36,買權,0,0,0,0,0,14,0,0,0,0,0
2004/1/2,AAO,200406  ,36,賣權,0,0,0,0,0,0.18,0,0,0,0,0
2004/1/2,AAO,200406  ,38,買權,0,0,0,0,0,12.05,0,0,0,0,0
2004/1/2,AAO,200406  ,38,賣權,0,0,0,0,0,0.34,22,0,0,3,0
2004/1/2,AAO,200406  ,40,買權,0,0,0,0,0,10.2,0,0,0,0,0
