"10101る 0050 芖50 らΘユ戈癟(じ,)"
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
 101/01/02,"11,331,613","556,761,325",49.45,49.60,48.94,49.06,-0.75,"3,354"
 101/01/03,"19,461,977","968,039,469",49.50,49.95,49.40,49.70,+0.64,"4,056"
 101/01/04,"23,080,541","1,153,014,500",49.90,50.15,49.78,50.00,+0.30,"3,962"
 101/01/05,"21,097,923","1,055,241,766",50.10,50.15,49.91,50.15,+0.15,"2,806"
 101/01/06,"28,343,880","1,418,225,293",50.10,50.25,49.85,50.00,-0.15,"2,878"
 101/01/09,"14,067,965","700,803,447",49.90,49.95,49.63,49.81,-0.19,"1,838"
 101/01/10,"29,305,530","1,480,714,650",50.20,50.70,50.20,50.70,+0.89,"5,600"
 101/01/11,"13,541,792","686,837,020",50.70,50.80,50.60,50.65,-0.05,"2,539"
 101/01/12,"18,821,732","954,956,625",50.70,50.85,50.50,50.75,+0.10,"3,455"
 101/01/13,"39,263,092","2,004,901,637",51.15,51.25,50.75,50.85,+0.10,"7,166"
 101/01/16,"28,879,651","1,450,782,388",51.05,51.10,49.75,50.05,-0.80,"4,870"
 101/01/17,"15,798,299","795,641,484",50.35,50.60,50.10,50.55,+0.50,"3,024"
 101/01/18,"12,506,827","631,832,184",50.55,50.75,50.30,50.40,-0.15,"3,124"
 101/01/30,"34,218,903","1,780,542,846",51.40,52.30,51.40,51.80,+1.40,"8,214"
 101/01/31,"20,611,434","1,073,539,049",52.00,52.40,51.75,51.95,+0.15,"4,022"
