
"96 03る 祇︽秖舦基计菌戈"
"ら戳","秨絃计","程蔼计","程计","Μ絃计"
" 96/03/01"," 7,707.63"," 7,761.40"," 7,663.17"," 7,678.67"
" 96/03/02"," 7,653.35"," 7,695.15"," 7,625.99"," 7,670.77"
" 96/03/03"," 7,644.18"," 7,670.50"," 7,587.80"," 7,630.15"
" 96/03/05"," 7,565.95"," 7,565.95"," 7,306.07"," 7,344.56"
" 96/03/06"," 7,379.08"," 7,452.84"," 7,349.98"," 7,451.06"
" 96/03/07"," 7,516.21"," 7,519.46"," 7,449.67"," 7,480.89"
" 96/03/08"," 7,517.77"," 7,573.87"," 7,510.44"," 7,573.87"
" 96/03/09"," 7,615.81"," 7,619.35"," 7,550.83"," 7,568.20"
" 96/03/12"," 7,611.15"," 7,640.14"," 7,590.82"," 7,629.15"
" 96/03/13"," 7,664.70"," 7,694.59"," 7,661.76"," 7,684.00"
" 96/03/14"," 7,552.73"," 7,575.52"," 7,526.48"," 7,570.27"
" 96/03/15"," 7,631.67"," 7,708.98"," 7,631.67"," 7,695.96"
" 96/03/16"," 7,707.15"," 7,743.37"," 7,676.39"," 7,719.80"
" 96/03/19"," 7,739.56"," 7,759.66"," 7,713.78"," 7,737.46"
" 96/03/20"," 7,784.27"," 7,798.27"," 7,736.20"," 7,736.20"
" 96/03/21"," 7,780.30"," 7,784.19"," 7,746.35"," 7,757.03"
" 96/03/22"," 7,843.64"," 7,856.99"," 7,822.63"," 7,823.67"
" 96/03/23"," 7,834.62"," 7,879.09"," 7,806.89"," 7,859.32"
" 96/03/26"," 7,878.59"," 7,887.33"," 7,853.15"," 7,877.82"
" 96/03/27"," 7,876.76"," 7,928.03"," 7,839.22"," 7,845.17"
" 96/03/28"," 7,832.62"," 7,841.40"," 7,769.30"," 7,788.14"
" 96/03/29"," 7,765.07"," 7,863.63"," 7,764.05"," 7,848.33"
" 96/03/30"," 7,877.75"," 7,888.82"," 7,839.91"," 7,884.41"
""
