DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
07/01/2009;00:00:01;207135;.7198;.71;.7089;.7269
08/01/2009;00:00:01;225330;.71;.7115;.6953;.7134
09/01/2009;00:00:01;176534;.7116;.7027;.7008;.712
12/01/2009;00:00:01;202139;.7022;.6789;.6774;.7023
13/01/2009;00:00:01;140193;.6787;.6671;.6573;.6793
14/01/2009;00:00:01;223053;.6672;.6645;.6576;.6812
15/01/2009;00:00:01;252922;.6642;.6666;.6533;.6702
16/01/2009;00:00:01;196322;.6666;.6731;.6643;.6797
19/01/2009;00:00:01;163586;.6731;.6674;.665;.6845
20/01/2009;00:00:01;231827;.6669;.6485;.6452;.6679
21/01/2009;00:00:01;230175;.6486;.6579;.6456;.6659
22/01/2009;00:00:01;214454;.6579;.6541;.6487;.6619
23/01/2009;00:00:01;221048;.654;.6535;.6414;.6588
26/01/2009;00:00:01;192533;.6536;.6618;.6489;.6645
27/01/2009;00:00:01;202281;.6618;.6642;.6569;.6722
28/01/2009;00:00:01;220706;.6642;.665;.6591;.6733
29/01/2009;00:00:01;198448;.665;.6497;.6482;.6662
30/01/2009;00:00:01;205757;.6496;.6352;.6342;.6508
02/02/2009;00:00:01;184710;.6347;.6303;.6244;.6377
03/02/2009;00:00:01;208219;.6302;.6487;.6298;.6547
04/02/2009;00:00:01;224239;.6486;.6426;.635;.6533
05/02/2009;00:00:01;212688;.6426;.6513;.64;.6583
06/02/2009;00:00:01;195368;.6513;.6751;.6473;.6803
09/02/2009;00:00:01;199914;.6751;.6746;.6624;.685
10/02/2009;00:00:01;241247;.6746;.6569;.6481;.6755
11/02/2009;00:00:01;200262;.6569;.6533;.6478;.6602
12/02/2009;00:00:01;223955;.6533;.6568;.6428;.6617
13/02/2009;00:00:01;168790;.6567;.6563;.6528;.6645
16/02/2009;00:00:01;127199;.6564;.6529;.6471;.6564
17/02/2009;00:00:01;202795;.6526;.6366;.6329;.653
18/02/2009;00:00:01;190700;.6366;.639;.6336;.6433
19/02/2009;00:00:01;189998;.639;.6446;.638;.6524
20/02/2009;00:00:01;186257;.6445;.6449;.635;.6499
23/02/2009;00:00:01;198175;.6448;.6405;.6398;.6549
24/02/2009;00:00:01;197172;.6406;.6521;.6386;.6542
25/02/2009;00:00:01;207287;.652;.6466;.6449;.6556
26/02/2009;00:00:01;179738;.6467;.6466;.6455;.6553
27/02/2009;00:00:01;216384;.6465;.6383;.6336;.6482
02/03/2009;00:00:01;204848;.6383;.6291;.6278;.6401
03/03/2009;00:00:01;204315;.6291;.6372;.6287;.6464
04/03/2009;00:00:01;197206;.6372;.6465;.6282;.6528
05/03/2009;00:00:01;190287;.6464;.6386;.6352;.6485
06/03/2009;00:00:01;178074;.6387;.64;.6365;.6472
09/03/2009;00:00:01;188777;.6397;.6343;.6302;.6452
10/03/2009;00:00:01;192153;.6344;.6478;.6338;.649
11/03/2009;00:00:01;170792;.6478;.6479;.6397;.6526
12/03/2009;00:00:01;193571;.6479;.6538;.6409;.6578
13/03/2009;00:00:01;144754;.6538;.6581;.6514;.6607
16/03/2009;00:00:01;145159;.6576;.6593;.6525;.6639
17/03/2009;00:00:01;147924;.6594;.6627;.6564;.6632
18/03/2009;00:00:01;153325;.6627;.6781;.6561;.6818
19/03/2009;00:00:01;200064;.6781;.6876;.6719;.6944
20/03/2009;00:00:01;162349;.6876;.6868;.6847;.6932
23/03/2009;00:00:01;183657;.6873;.7038;.6872;.7064
24/03/2009;00:00:01;190962;.7038;.6991;.693;.7095
25/03/2009;00:00:01;172774;.6993;.6987;.6901;.7051
26/03/2009;00:00:01;148233;.6987;.7019;.6975;.7042
27/03/2009;00:00:01;131604;.7019;.6937;.686;.7032
30/03/2009;00:00:01;199669;.6937;.6799;.6767;.6938
31/03/2009;00:00:01;200324;.68;.6919;.6788;.6971
01/04/2009;00:00:01;215160;.6921;.6981;.6852;.7002
02/04/2009;00:00:01;237514;.6981;.7196;.697;.72
03/04/2009;00:00:01;206219;.7196;.7147;.7054;.723
06/04/2009;00:00:01;217488;.7152;.7065;.7062;.721
07/04/2009;00:00:01;231459;.7066;.712;.7039;.7171
08/04/2009;00:00:01;217515;.7119;.7081;.7029;.7131
09/04/2009;00:00:01;192404;.708;.7183;.7047;.7206
10/04/2009;00:00:01;35925;.7184;.7194;.7169;.721
13/04/2009;00:00:01;111317;.7199;.7316;.7183;.7328
14/04/2009;00:00:01;222549;.7316;.7228;.7197;.7321
15/04/2009;00:00:01;236873;.7229;.7276;.7144;.7299
16/04/2009;00:00:01;244340;.7277;.7198;.7133;.732
17/04/2009;00:00:01;151602;.7198;.7217;.7164;.7228
20/04/2009;00:00:01;213079;.7222;.6975;.695;.725
21/04/2009;00:00:01;166818;.6976;.7069;.6969;.7132
22/04/2009;00:00:01;230295;.707;.7061;.6997;.7119
23/04/2009;00:00:01;225838;.706;.7121;.7025;.7158
24/04/2009;00:00:01;139174;.7121;.7228;.7103;.724
27/04/2009;00:00:01;312098;.7223;.7064;.7056;.7223
28/04/2009;00:00:01;316433;.7064;.7069;.6985;.7103
29/04/2009;00:00:01;218291;.7069;.7252;.7065;.73
30/04/2009;00:00:01;291588;.7252;.7289;.7232;.7385
01/05/2009;00:00:01;170823;.729;.7302;.7246;.7349
04/05/2009;00:00:01;215069;.7307;.7415;.7307;.7421
05/05/2009;00:00:01;274169;.7415;.7388;.7369;.748
06/05/2009;00:00:01;328149;.7388;.748;.7333;.7504
07/05/2009;00:00:01;326602;.7479;.7549;.7456;.7617
08/05/2009;00:00:01;249332;.7549;.7683;.7504;.7709
11/05/2009;00:00:01;322413;.7688;.7593;.7565;.7716
12/05/2009;00:00:01;349797;.7591;.7674;.7558;.7698
13/05/2009;00:00:01;389011;.7676;.7524;.7504;.7705
14/05/2009;00:00:01;388758;.7525;.7589;.7461;.762
15/05/2009;00:00:01;322189;.7589;.749;.7473;.7608
18/05/2009;00:00:01;325154;.7485;.764;.7443;.7669
19/05/2009;00:00:01;328829;.7642;.7745;.7623;.7786
20/05/2009;00:00:01;352149;.7743;.774;.7682;.7811
21/05/2009;00:00:01;313129;.774;.7804;.7665;.7807
22/05/2009;00:00:01;294175;.7803;.7824;.7765;.787
25/05/2009;00:00:01;133134;.7819;.7805;.7768;.7837
26/05/2009;00:00:01;266208;.7804;.7873;.7699;.7887
27/05/2009;00:00:01;257801;.7874;.7782;.7741;.7892
28/05/2009;00:00:01;250271;.7782;.7853;.7754;.7869
29/05/2009;00:00:01;245473;.7851;.8009;.7842;.8018
01/06/2009;00:00:01;212151;.8014;.811;.7988;.8154
02/06/2009;00:00:01;215003;.8109;.8186;.8045;.8232
03/06/2009;00:00:01;263816;.8186;.8019;.7928;.8265
04/06/2009;00:00:01;296754;.8019;.8;.7882;.8091
05/06/2009;00:00:01;212343;.8;.7921;.7913;.8123
08/06/2009;00:00:01;211255;.7926;.7915;.7823;.799
09/06/2009;00:00:01;270679;.7915;.8005;.785;.8045
10/06/2009;00:00:01;198830;.8005;.8029;.7964;.8136
11/06/2009;00:00:01;206113;.8028;.82;.8025;.8239
12/06/2009;00:00:01;233604;.82;.8138;.8056;.8209
14/06/2009;00:00:01;8834;.8138;.8079;.8056;.8138
15/06/2009;00:00:01;189632;.8078;.7942;.7902;.8093
16/06/2009;00:00:01;245326;.7942;.7879;.7858;.8069
17/06/2009;00:00:01;274294;.7879;.7965;.7846;.7998
18/06/2009;00:00:01;229882;.7965;.7994;.7909;.8055
19/06/2009;00:00:01;143000;.7994;.8054;.7981;.8139
22/06/2009;00:00:01;155604;.8054;.7832;.7807;.8055
23/06/2009;00:00:01;214559;.7831;.7941;.7786;.798
24/06/2009;00:00:01;227950;.7941;.7968;.7925;.8056
26/06/2009;00:00:01;107853;.7977;.8073;.797;.8089
29/06/2009;00:00:01;153894;.8074;.8095;.7979;.8116
30/06/2009;00:00:01;208890;.8095;.8062;.8034;.8156
01/07/2009;00:00:01;195160;.8062;.8089;.8018;.8109
02/07/2009;00:00:01;205875;.809;.7927;.7898;.8095
03/07/2009;00:00:01;116122;.7927;.7967;.7918;.8008
06/07/2009;00:00:01;169977;.7962;.7973;.7876;.7983
07/07/2009;00:00:01;207283;.7974;.7868;.7851;.8039
08/07/2009;00:00:01;225975;.7866;.7773;.772;.7891
09/07/2009;00:00:01;211714;.7773;.7843;.7764;.7865
10/07/2009;00:00:01;203193;.7842;.7789;.7736;.7844
13/07/2009;00:00:01;224193;.7786;.7837;.7697;.7848
14/07/2009;00:00:01;195218;.7836;.7946;.781;.7952
15/07/2009;00:00:01;192817;.7946;.8016;.7921;.8058
16/07/2009;00:00:01;208974;.8015;.8031;.7956;.8073
17/07/2009;00:00:01;168251;.8031;.8018;.7964;.8043
20/07/2009;00:00:01;171155;.8013;.8136;.7999;.8181
21/07/2009;00:00:01;162896;.8137;.8149;.8085;.8193
22/07/2009;00:00:01;162907;.8149;.8152;.8096;.8215
23/07/2009;00:00:01;159347;.8153;.8142;.8104;.8223
24/07/2009;00:00:01;146476;.8142;.8171;.812;.819
